,ClusterName
4694,Pyramidal L2-3 L5
5039,Pyramidal L2-3 L5
5892,Pyramidal L2-3 L5
352,Pyramidal L2-3 L5
4552,Pyramidal L2-3 L5
5799,Pyramidal L2-3 L5
2221,Pyramidal L2-3 L5
6214,Pyramidal L2-3 L5
259,Pyramidal L2-3 L5
5736,Pyramidal L2-3 L5
3866,Pyramidal L2-3 L5
32,Pyramidal L2-3 L5
3378,Pyramidal L2-3 L5
3893,Pyramidal L2-3 L5
6715,Pyramidal L2-3 L5
257,Pyramidal L2-3 L5
4643,Pyramidal L2-3 L5
3465,Pyramidal L2-3 L5
4571,Pyramidal L2-3 L5
1593,Pyramidal L2-3 L5
5221,Pyramidal L2-3 L5
1706,Pyramidal L2-3 L5
3552,Pyramidal L2-3 L5
6110,Pyramidal L2-3 L5
1652,Pyramidal L2-3 L5
3936,Pyramidal L2-3 L5
3876,Pyramidal L2-3 L5
6725,Pyramidal L2-3 L5
5199,Pyramidal L2-3 L5
3532,Pyramidal L2-3 L5
3821,Pyramidal L2-3 L5
3867,Pyramidal L2-3 L5
4610,Pyramidal L2-3 L5
3421,Pyramidal L2-3 L5
4636,Pyramidal L2-3 L5
6160,Pyramidal L2-3 L5
2280,Pyramidal L2-3 L5
6075,Pyramidal L2-3 L5
2168,Pyramidal L2-3 L5
735,Pyramidal L2-3 L5
747,Pyramidal L2-3 L5
3496,Pyramidal L2-3 L5
306,Pyramidal L2-3 L5
262,Pyramidal L2-3 L5
7379,Pyramidal L2-3 L5
5156,Pyramidal L2-3 L5
314,Pyramidal L2-3 L5
4925,Pyramidal L2-3 L5
3752,Pyramidal L2-3 L5
304,Pyramidal L2-3 L5
4919,Pyramidal L2-3 L5
6183,Pyramidal L2-3 L5
1638,Pyramidal L2-3 L5
225,Pyramidal L2-3 L5
1594,Pyramidal L2-3 L5
4659,Pyramidal L2-3 L5
74,Pyramidal L2-3 L5
5761,Pyramidal L2-3 L5
4743,Pyramidal L2-3 L5
3393,Pyramidal L2-3 L5
436,Pyramidal L2-3 L5
1637,Pyramidal L2-3 L5
3830,Pyramidal L2-3 L5
6159,Pyramidal L2-3 L5
1649,Pyramidal L2-3 L5
299,Pyramidal L2-3 L5
5645,Pyramidal L2-3 L5
3357,Pyramidal L2-3 L5
3600,Pyramidal L2-3 L5
2130,Pyramidal L2-3 L5
